01/02/2020,2020-02-21f,TX03,21078,C_000001,serie,numero,BBB1,8577,,,8,GLP,7.58,1.12,1.32,8.47,1.53,10,,,,,,CLIENTE GENERICO,GLL
N,2020-03-04,1,19,99,BB03,47685,C_000001,C_000001,0,,2,GAS 90,2.502,10.1610169492,11.99,25.42,4.58,30,,,,,,,GLL
,2020-03-06,1,12,99,BB01,18965,BB01,18965,0,,5,DIESEL B5 S50,7.981,10.6186440678,12.53,84.7457627119,15.2542372881,100,,,,,,,GLL
,2020-03-06,1,12,99,BB01,18966,BB01,18966,0,,5,DIESEL B5 S50,3.99,10.6186440678,12.53,42.3728813559,7.6271186441,50,,,,,,,GLL
,2020-03-06,1,12,99,BB01,18967,BB01,18967,0,,3,GAS 95,6.202,10.9322033898,12.9,67.8050847458,12.2049152542,80.01,,,,,,,GLL
,2020-03-06,1,12,99,BB01,18969,BB01,18969,0,,5,DIESEL B5 S50,6.385,10.6186440678,12.53,67.7966101695,12.2033898305,80,,,,,,,GLL
,2020-03-06,1,12,99,BB01,18971,BB01,18971,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
,2020-03-06,1,12,99,BB01,18975,BB01,18975,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
,2020-03-06,1,12,99,BB01,18976,BB01,18976,0,,5,DIESEL B5 S50,3.192,10.6186440678,12.53,33.8983050847,6.1016949153,40,,,,,,,GLL
,2020-03-06,1,12,99,BB01,18977,BB01,18977,0,,2,GAS 90,0.417,10.1610169492,11.99,4.2372881356,0.7627118644,5,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15504,BB02,15504,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
3-04-0--20,2020-03-04,1,19,99,BB02,15504,BB02,15504,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
