01/02/2020,2020-02-21f,TX03,21078,C_000001,BBB1,8577,BBB1,8577,,,8,GLP,7.58,1.12,1.32,8.47,1.53,10,,,,,,CLIENTE GENERICO,GLL
,2020-03-01,1,19,99,BB03,47670,BB03,47670,0,,8,GLP,1.95,1.1186440678,1.32,2.186440678,0.393559322,2.58,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47671,BB03,47671,0,,8,GLP,2.05,1.1186440678,1.32,2.2881355932,0.4118644068,2.7,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47672,BB03,47672,0,,8,GLP,9.92,1.1186440678,1.32,11.1016949153,1.9983050847,13.1,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47676,BB03,47676,0,,8,GLP,7.58,1.1186440678,1.32,8.4745762712,1.5254237288,10,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47677,BB03,47677,0,,8,GLP,2.27,1.1186440678,1.32,2.5423728814,0.4576271186,3,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47678,BB03,47678,0,,8,GLP,3.79,1.1186440678,1.32,4.2372881356,0.7627118644,5,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47679,BB03,47679,0,,8,GLP,7.58,1.1186440678,1.32,8.4745762712,1.5254237288,10,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47680,BB03,47680,0,,8,GLP,4.83,1.1186440678,1.32,5.406779661,0.973220339,6.38,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47681,BB03,47681,0,,8,GLP,28.04,1.1186440678,1.32,31.3644067797,5.6455932203,37.01,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47682,BB03,47682,0,,8,GLP,18.92,1.1186440678,1.32,21.1610169492,3.8089830508,24.97,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47684,BB03,47684,0,,3,GAS 95,1.55,10.9322033898,12.9,16.9491525424,3.0508474576,20,,,,,,,GLL
,01-03-2020,1,19,99,BB03,47685,BB03,47685,0,,2,GAS 90,2.502,10.1610169492,11.99,25.4237288136,4.5762711864,30,,,,,,,GLL
,01-03-2020,1,19,99,BB03,47686,BB03,47686,0,,8,GLP,18.22,1.1186440678,1.32,20.3813559322,3.6686440678,24.05,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47687,BB03,47687,0,,8,GLP,30.3,1.1186440678,1.32,33.8983050847,6.1016949153,40,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47688,BB03,47688,0,,8,GLP,15.15,1.1186440678,1.32,16.9491525424,3.0508474576,20,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47692,BB03,47692,0,,8,GLP,15.15,1.1186440678,1.32,16.9491525424,3.0508474576,20,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47694,BB03,47694,0,,8,GLP,3.79,1.1186440678,1.32,4.2372881356,0.7627118644,5,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47698,BB03,47698,0,,8,GLP,15.15,1.1186440678,1.32,16.9491525424,3.0508474576,20,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47699,BB03,47699,0,,8,GLP,3.79,1.1186440678,1.32,4.2372881356,0.7627118644,5,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47702,BB03,47702,0,,8,GLP,18.94,1.1186440678,1.32,21.186440678,3.813559322,25,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47704,BB03,47704,0,,8,GLP,3.79,1.1186440678,1.32,4.2372881356,0.7627118644,5,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47705,BB03,47705,0,,8,GLP,7.58,1.1186440678,1.32,8.4745762712,1.5254237288,10,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47706,BB03,47706,0,,8,GLP,15.15,1.1186440678,1.32,16.9491525424,3.0508474576,20,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47707,BB03,47707,0,,8,GLP,10.85,1.1186440678,1.32,12.1355932203,2.1844067797,14.32,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47708,BB03,47708,0,,8,GLP,13.45,1.1186440678,1.32,15.0423728814,2.7076271186,17.75,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47709,BB03,47709,0,,2,GAS 90,1.668,10.1610169492,11.99,16.9491525424,3.0508474576,20,,,,,,,GLL
,01-03-2020,1,19,99,BB03,47710,BB03,47710,0,,8,GLP,7.58,1.1186440678,1.32,8.4745762712,1.5254237288,10,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47711,BB03,47711,0,,2,GAS 90,0.834,10.1610169492,11.99,8.4745762712,1.5254237288,10,,,,,,,GLL
,01-03-2020,1,19,99,BB03,47712,BB03,47712,0,,8,GLP,15.15,1.1186440678,1.32,16.9491525424,3.0508474576,20,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47713,BB03,47713,0,,8,GLP,15.15,1.1186440678,1.32,16.9491525424,3.0508474576,20,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47714,BB03,47714,0,,8,GLP,11.36,1.1186440678,1.32,12.7118644068,2.2881355932,15,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47715,BB03,47715,0,,3,GAS 95,1.55,10.9322033898,12.9,16.9491525424,3.0508474576,20,,,,,,,GLL
,01-03-2020,1,19,99,BB03,47716,BB03,47716,0,,8,GLP,34.92,1.1186440678,1.32,39.0593220339,7.0306779661,46.09,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47717,BB03,47717,0,,8,GLP,12.25,1.1186440678,1.32,13.7033898305,2.4666101695,16.17,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47718,BB03,47718,0,,8,GLP,3.79,1.1186440678,1.32,4.2372881356,0.7627118644,5,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47721,BB03,47721,0,,8,GLP,7.58,1.1186440678,1.32,8.4745762712,1.5254237288,10,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47722,BB03,47722,0,,3,GAS 95,0.62,10.9322033898,12.9,6.7796610169,1.2203389831,8,,,,,,,GLL
,01-03-2020,1,19,99,BB03,47723,BB03,47723,0,,8,GLP,15.15,1.1186440678,1.32,16.9491525424,3.0508474576,20,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47724,BB03,47724,0,,8,GLP,11.36,1.1186440678,1.32,12.7118644068,2.2881355932,15,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47726,BB03,47726,0,,8,GLP,6.82,1.1186440678,1.32,7.6271186441,1.3728813559,9,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47727,BB03,47727,0,,8,GLP,15.15,1.1186440678,1.32,16.9491525424,3.0508474576,20,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47728,BB03,47728,0,,8,GLP,3.79,1.1186440678,1.32,4.2372881356,0.7627118644,5,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47732,BB03,47732,0,,8,GLP,15.15,1.1186440678,1.32,16.9491525424,3.0508474576,20,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47733,BB03,47733,0,,8,GLP,7.58,1.1186440678,1.32,8.4745762712,1.5254237288,10,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47734,BB03,47734,0,,8,GLP,2.27,1.1186440678,1.32,2.5423728814,0.4576271186,3,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47736,BB03,47736,0,,8,GLP,3.79,1.1186440678,1.32,4.2372881356,0.7627118644,5,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47737,BB03,47737,0,,8,GLP,15.15,1.1186440678,1.32,16.9491525424,3.0508474576,20,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47740,BB03,47740,0,,8,GLP,1.3,1.1186440678,1.32,1.4576271186,0.2623728814,1.72,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47741,BB03,47741,0,,8,GLP,9.76,1.1186440678,1.32,10.9152542373,1.9647457627,12.88,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47742,BB03,47742,0,,8,GLP,20.82,1.1186440678,1.32,23.2881355932,4.1918644068,27.48,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47743,BB03,47743,0,,8,GLP,11.36,1.1186440678,1.32,12.7118644068,2.2881355932,15,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47745,BB03,47745,0,,8,GLP,5.3,1.1186440678,1.32,5.9322033898,1.0677966102,7,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47746,BB03,47746,0,,8,GLP,11.36,1.1186440678,1.32,12.7118644068,2.2881355932,15,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47747,BB03,47747,0,,8,GLP,4.55,1.1186440678,1.32,5.0847457627,0.9152542373,6,,,,,,,LTR
,01-03-2020,1,19,99,BB03,47748,BB03,47748,0,,8,GLP,12.2,1.1186440678,1.32,13.6525423729,2.4574576271,16.11,,,,,,,LTR
