td,fecha,turno,cod_emp,caja,serie,numero,cod_cli,ruc,placa,odometro,cod_prod,cantidad,precio,importe,igv,fpago,implista,cod_tar,km,chofer,tk_devol,cod_sucu,isla,dni_cli,tipo,producto,razon,unidad
F,27-11-2019,1,15,99,FF01,354,20501889068,20501889068,0,142815,4,9.98,14.99,149.6,18,1,0,1,0,,,1,1,,1,GAS 98,EMPRESA DE TRANSPORTES YUVIEL S.A.,GLL
F,27-11-2019,,,,FF01,354,20501889068,20501889068,,,5,777.34,12.28,9545.63,18,1,0,1,0,,,1,1,,1,DIESEL 2,EMPRESA DE TRANSPORTES YUVIEL S.A.,GLL
F,27-11-2019,,,,FF01,355,20550943060,20550943060,,,5,99.65,12.28,1223.72,18,1,0,1,0,,,1,1,,1,DIESEL 2,SCLT PERU SAC,GLL
F,27-11-2019,,,,FF01,355,20550943060,20550943060,,,8,58.47,1.23,71.92,18,1,0,1,0,,,1,1,,1,GLP,SCLT PERU SAC,GLL
F,27-11-2019,,,,FF01,358,20602217508,20602217508,,,2,900,12.94,11646,18,1,0,1,0,,,1,1,,1,GAS 90,DIRECCION DE REDES INTEGRADAS DE SALUD LIMA NORTE,GLL
F,27-11-2019,,,,FF01,358,20602217508,20602217508,,,5,1750,12.52,21910,18,1,0,1,0,,,1,1,,1,DIESEL 2,DIRECCION DE REDES INTEGRADAS DE SALUD LIMA NORTE,GLL
F,28-11-2019,,,,FF01,375,20501889068,20501889068,,,4,19.36,14.99,290.2,18,1,0,1,0,,,1,1,,1,GAS 98,EMPRESA DE TRANSPORTES YUVIEL S.A.,GLL
F,28-11-2019,,,,FF01,375,20501889068,20501889068,,,5,751.03,12.28,9222.62,18,1,0,1,0,,,1,1,,1,DIESEL 2,EMPRESA DE TRANSPORTES YUVIEL S.A.,GLL
F,27-11-2019,,,,FF03,230,20600701691,20600701691,,,2,814.19,11.74,9562.2,18,1,0,1,0,,,1,1,,1,GAS 90,LINEA INTEGRAL DE SEGURIDAD S.A.C.,GLL
F,27-11-2019,,,,FF03,230,20600701691,20600701691,,,3,566.53,12.75,7221.36,18,1,0,1,0,,,1,1,,1,GAS 95,LINEA INTEGRAL DE SEGURIDAD S.A.C.,GLL
F,27-11-2019,,,,FF03,230,20600701691,20600701691,,,4,169.28,13.79,2333.69,18,1,0,1,0,,,1,1,,1,GAS 98,LINEA INTEGRAL DE SEGURIDAD S.A.C.,GLL
F,27-11-2019,,,,FF03,232,20550943060,20550943060,,,5,95.26,12.28,1169.91,18,1,0,1,0,,,1,1,,1,DIESEL 2,SCLT PERU SAC,GLL
F,27-11-2019,,,,FF03,232,20550943060,20550943060,,,8,58.58,1.26,74.02,18,1,0,1,0,,,1,1,,1,GLP,SCLT PERU SAC,GLL
F,27-11-2019,,,,FF03,236,20603521391,20603521391,,,2,19.06,12.54,239.14,18,1,0,1,0,,,1,1,,1,GAS 90,CONSTRUCCIONES CPSDP SAC,GLL
F,27-11-2019,,,,FF03,236,20603521391,20603521391,,,3,30.6,13.75,420.89,18,1,0,1,0,,,1,1,,1,GAS 95,CONSTRUCCIONES CPSDP SAC,GLL
F,27-11-2019,,,,FF03,236,20603521391,20603521391,,,5,32.97,12.28,404.87,18,1,0,1,0,,,1,1,,1,DIESEL 2,CONSTRUCCIONES CPSDP SAC,GLL
F,27-11-2019,,,,FF03,236,20603521391,20603521391,,,8,202.35,1.27,256.84,18,1,0,1,0,,,1,1,,1,GLP,CONSTRUCCIONES CPSDP SAC,GLL
F,27-11-2019,,,,FF03,237,20550943060,20550943060,,,5,84.78,12.28,1040.98,18,1,0,1,0,,,1,1,,1,DIESEL 2,SCLT PERU SAC,GLL
F,27-11-2019,,,,FF03,237,20550943060,20550943060,,,8,30.5,1.29,39.35,18,1,0,1,0,,,1,1,,1,GLP,SCLT PERU SAC,GLL
F,27-11-2019,,,,FF03,238,20501889068,20501889068,,,2,0.86,12.49,10.78,18,1,0,1,0,,,1,1,,1,GAS 90,EMPRESA DE TRANSPORTES YUVIEL S.A.,GLL
F,27-11-2019,,,,FF03,238,20501889068,20501889068,,,5,129.12,12.28,1585.72,18,1,0,1,0,,,1,1,,1,DIESEL 2,EMPRESA DE TRANSPORTES YUVIEL S.A.,GLL
F,30-11-2019,,,,FF03,247,20603521391,20603521391,,,2,10.18,12.54,127.66,18,1,0,1,0,,,1,1,,1,GAS 90,CONSTRUCCIONES CPSDP SAC,GLL
F,30-11-2019,,,,FF03,247,20603521391,20603521391,,,5,14.88,12.28,182.73,18,1,0,1,0,,,1,1,,1,DIESEL 2,CONSTRUCCIONES CPSDP SAC,GLL
F,30-11-2019,,,,FF03,247,20603521391,20603521391,,,8,79.25,1.3,102.92,18,1,0,1,0,,,1,1,,1,GLP,CONSTRUCCIONES CPSDP SAC,GLL
F,27-11-2019,,,,FF04,194,20600701691,20600701691,,,3,453.45,12.74,5779.16,18,1,0,1,0,,,1,1,,1,GAS 95,LINEA INTEGRAL DE SEGURIDAD S.A.C.,GLL
F,27-11-2019,,,,FF04,194,20600701691,20600701691,,,4,146.27,13.79,2016.67,18,1,0,1,0,,,1,1,,1,GAS 98,LINEA INTEGRAL DE SEGURIDAD S.A.C.,GLL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,04/12/19,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27/11/19,,,,,,,,,,,,,,,,,,,,,,,,,,,
